page_url,title,entity_label,entity_uri,entity_types,entity_count,entity_sentiment
https://news.google.com/rss/articles/CBMivAFBVV95cUxNYXZUN3FzaU00WEFaN2x4SXVJUFh5X3FPb2hFZGtlWWlVeTFiN25JOGlhbk01RmItbWw4TTQ2a1J6aU9FS2RMenpINmhTYkVackpfVHFFQkNmUnVTRElNZHVjYUJMNndkcVdMbjNRQ3pyLWxaSm5vWVhJM2xWaHA1TkY1THJCRm5wcEp5NmJ0aFViSjMzR2JDUmFpcFJ2UHJ6ZkdUU2Z2TXpqZEV4Y3NTdFd5TWtFRDZRTklGWg?oc=5,"Pentagon inks deals with Nvidia, Microsoft, and AWS to deploy AI on classified networks",US Department of Defense,https://diffbot.com/entity/E9cmrdQUHOqao49x2Aclimg,['http://dbpedia.org/ontology/Organisation'],8,0.0
https://news.google.com/rss/articles/CBMivAFBVV95cUxNYXZUN3FzaU00WEFaN2x4SXVJUFh5X3FPb2hFZGtlWWlVeTFiN25JOGlhbk01RmItbWw4TTQ2a1J6aU9FS2RMenpINmhTYkVackpfVHFFQkNmUnVTRElNZHVjYUJMNndkcVdMbjNRQ3pyLWxaSm5vWVhJM2xWaHA1TkY1THJCRm5wcEp5NmJ0aFViSjMzR2JDUmFpcFJ2UHJ6ZkdUU2Z2TXpqZEV4Y3NTdFd5TWtFRDZRTklGWg?oc=5,"Pentagon inks deals with Nvidia, Microsoft, and AWS to deploy AI on classified networks",Microsoft,https://diffbot.com/entity/EIsFKrN_ZNLSWsvxdQfWutQ,['http://dbpedia.org/ontology/Organisation'],2,0.0
https://news.google.com/rss/articles/CBMirwFBVV95cUxNdTFXWXowcDIxMEczYWY5Yi1nbDZmZjlVQ3llazVJWGpNY05iRXE1X0JpRjZsSTA1S2tIUDVfd1ktanRYSUttcTN3RGtoMEhNYkUxNTBabENvSG9vaHBQUEZXTERkNlVsZFlIb05vVldPajdkYVQ4YkFIaDlGZnRCaXhsQlRvTFBacUF0aVluaVBpcmJUeGF4RjFZRzVybm9MVUt0VE9RbUxVTi1yS0kw0gG3AUFVX3lxTE9qZ25WR0szLWw4eDVnVEQzaDZzMkxWdkdCWmJqVHFHUFpGZEVjT0piWWZRUXJqTUZXdzVhQVV3MThxZjhDUzhBNlRtMDF0YV9td1p6dUZIQWI1Z1pHazNmck5oRzJNRi1NWXJQSm1xYXRMOENvejJYNTl3My0yMHljbWQ3eER2Zno3c19RcFNNUmpjQ21Dem91WjJlWHJFZzY5eDZ2dWtNdmNHQmo4Y0o5a05xTl9uUQ?oc=5,Houston ISD to transform nine campuses into AI-focused schools,Mike Miles,https://diffbot.com/entity/Ehack4VYgOBiz2tQB_7_Pcw,['http://dbpedia.org/ontology/Person'],3,0.0
https://news.google.com/rss/articles/CBMirwFBVV95cUxNdTFXWXowcDIxMEczYWY5Yi1nbDZmZjlVQ3llazVJWGpNY05iRXE1X0JpRjZsSTA1S2tIUDVfd1ktanRYSUttcTN3RGtoMEhNYkUxNTBabENvSG9vaHBQUEZXTERkNlVsZFlIb05vVldPajdkYVQ4YkFIaDlGZnRCaXhsQlRvTFBacUF0aVluaVBpcmJUeGF4RjFZRzVybm9MVUt0VE9RbUxVTi1yS0kw0gG3AUFVX3lxTE9qZ25WR0szLWw4eDVnVEQzaDZzMkxWdkdCWmJqVHFHUFpGZEVjT0piWWZRUXJqTUZXdzVhQVV3MThxZjhDUzhBNlRtMDF0YV9td1p6dUZIQWI1Z1pHazNmck5oRzJNRi1NWXJQSm1xYXRMOENvejJYNTl3My0yMHljbWQ3eER2Zno3c19RcFNNUmpjQ21Dem91WjJlWHJFZzY5eDZ2dWtNdmNHQmo4Y0o5a05xTl9uUQ?oc=5,Houston ISD to transform nine campuses into AI-focused schools,Houston Independent School District,https://diffbot.com/entity/EeSVnzukyMyWlqs3dVPGP0Q,"['http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace']",7,0.0
https://news.google.com/rss/articles/CBMisgFBVV95cUxNa2JqMUx1Q1ZlemtKUU9LQ3pNcGtKdXgzd2k0U0F2UElWUnRSM0ZLZ0tINEc3QVp3Si1Nb2plN2ZCekI1Sk1xeU42aVRBSDFhUUp4YVllN0dhcEhIejd1aW9hMURvTzRkcGlhV3JkUVZXYzBWVExHSXJWTVJDZEtlelVUM2ZVeWRPUy1WaTNHYWFwc2lpN05MWkdtUWVUbTNxSDczZmpUd3pIaE0tWG9BMHlB?oc=5,Army’s Project ARIA seeks to accelerate AI adoption across the force,artificial intelligence,https://diffbot.com/entity/E_lYDrjmAMlKKwXaDf958zg,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject']",12,0.886
https://news.google.com/rss/articles/CBMikgFBVV95cUxNZjJNTXVTVDVsVUxqN2ZuTi11VUdKUjR0eTdFeVZwekxtaHdudFhlTVlQcjB3dzY5SExuQ2kya2tQcEZENjFCWDRZUTZ6c2NuSm1Mb00zakpZaHhfdUhxUkZwcEZETktJRWozR2VXX0NmcXJORkV6Sml2SlhPWmpMcE5hZmNUZFBKOC1lSHFtSm9PQQ?oc=5,Artificial Intelligence in the Wellness Space,artificial intelligence,https://diffbot.com/entity/E_lYDrjmAMlKKwXaDf958zg,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject']",13,0.847
https://news.google.com/rss/articles/CBMikAFBVV95cUxQSVVRQWdpYU1TUTdXMUhmX01IUnJEYlJueWRiZ045b3RFNE1oV211V0E2ZkV1TzRIeWJ4RGVBNWlvZEh5WGtHRFpuNEhVcVp0cGpuRkRySTZPYUs3bi1Yek1nLWZZZ1d3QzBTRlpBa040M1lfRldRWlkzbXpDLXpTck1qTHBOa1gtZnNmakduVHI?oc=5,Pentagon inks deal with Google for AI services,US Department of Defense,https://diffbot.com/entity/E9cmrdQUHOqao49x2Aclimg,['http://dbpedia.org/ontology/Organisation'],16,0.0
https://news.google.com/rss/articles/CBMikAFBVV95cUxQSVVRQWdpYU1TUTdXMUhmX01IUnJEYlJueWRiZ045b3RFNE1oV211V0E2ZkV1TzRIeWJ4RGVBNWlvZEh5WGtHRFpuNEhVcVp0cGpuRkRySTZPYUs3bi1Yek1nLWZZZ1d3QzBTRlpBa040M1lfRldRWlkzbXpDLXpTck1qTHBOa1gtZnNmakduVHI?oc=5,Pentagon inks deal with Google for AI services,Google,https://diffbot.com/entity/EUFq-3WlpNsq0pvfUYWXOEA,"['http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Work']",14,0.0
https://news.google.com/rss/articles/CBMikAFBVV95cUxQSVVRQWdpYU1TUTdXMUhmX01IUnJEYlJueWRiZ045b3RFNE1oV211V0E2ZkV1TzRIeWJ4RGVBNWlvZEh5WGtHRFpuNEhVcVp0cGpuRkRySTZPYUs3bi1Yek1nLWZZZ1d3QzBTRlpBa040M1lfRldRWlkzbXpDLXpTck1qTHBOa1gtZnNmakduVHI?oc=5,Pentagon inks deal with Google for AI services,Kate Dreyer,https://diffbot.com/entity/EHlHlazTtNNykFFwsm7ZrVA,['http://dbpedia.org/ontology/Person'],1,0.0
https://news.google.com/rss/articles/CBMikAFBVV95cUxQSVVRQWdpYU1TUTdXMUhmX01IUnJEYlJueWRiZ045b3RFNE1oV211V0E2ZkV1TzRIeWJ4RGVBNWlvZEh5WGtHRFpuNEhVcVp0cGpuRkRySTZPYUs3bi1Yek1nLWZZZ1d3QzBTRlpBa040M1lfRldRWlkzbXpDLXpTck1qTHBOa1gtZnNmakduVHI?oc=5,Pentagon inks deal with Google for AI services,Michael C. Horowitz,https://diffbot.com/entity/EruuBgO6wOkyRf9rd1mV0hQ,['http://dbpedia.org/ontology/Person'],2,0.0
https://news.google.com/rss/articles/CBMikAFBVV95cUxQSVVRQWdpYU1TUTdXMUhmX01IUnJEYlJueWRiZ045b3RFNE1oV211V0E2ZkV1TzRIeWJ4RGVBNWlvZEh5WGtHRFpuNEhVcVp0cGpuRkRySTZPYUs3bi1Yek1nLWZZZ1d3QzBTRlpBa040M1lfRldRWlkzbXpDLXpTck1qTHBOa1gtZnNmakduVHI?oc=5,Pentagon inks deal with Google for AI services,artificial intelligence,https://diffbot.com/entity/E_lYDrjmAMlKKwXaDf958zg,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject']",22,0.0
https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZS1vRGZZWkRGT0lBQVA3aWl0cHI5Q21oc0YyWVM3VjlNMkxRMU1QQ2pRd2ktMFAwYXpHdWRMSGJhWkFwM0d0QUl0NWZSZG9JYmxfbGp0bFlZQ18yUGNvamVjaHBwRkxES2xHeXVlTXNzdUxRaXM0Y2c0UmotQVpMeVNab2VIRFVmNWl0NGU0LWZFQ0lVcVd3TFpBX3RzMjdFQWdpbmRHSi16UHRSUERkMVpFanJkMmtmYk42N3JQMnU?oc=5,Colby Adcock’s Scout AI raises $100M to train its models for war: We visited its bootcamp,Collin Otis,https://diffbot.com/entity/EKGhZb6DTNXK_LqIQApjtjA,['http://dbpedia.org/ontology/Person'],6,0.0
https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZS1vRGZZWkRGT0lBQVA3aWl0cHI5Q21oc0YyWVM3VjlNMkxRMU1QQ2pRd2ktMFAwYXpHdWRMSGJhWkFwM0d0QUl0NWZSZG9JYmxfbGp0bFlZQ18yUGNvamVjaHBwRkxES2xHeXVlTXNzdUxRaXM0Y2c0UmotQVpMeVNab2VIRFVmNWl0NGU0LWZFQ0lVcVd3TFpBX3RzMjdFQWdpbmRHSi16UHRSUERkMVpFanJkMmtmYk42N3JQMnU?oc=5,Colby Adcock’s Scout AI raises $100M to train its models for war: We visited its bootcamp,Colby Adcock,https://diffbot.com/entity/EccHX8-unNO-SrA1RQByuQA,['http://dbpedia.org/ontology/Person'],4,0.0
https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZS1vRGZZWkRGT0lBQVA3aWl0cHI5Q21oc0YyWVM3VjlNMkxRMU1QQ2pRd2ktMFAwYXpHdWRMSGJhWkFwM0d0QUl0NWZSZG9JYmxfbGp0bFlZQ18yUGNvamVjaHBwRkxES2xHeXVlTXNzdUxRaXM0Y2c0UmotQVpMeVNab2VIRFVmNWl0NGU0LWZFQ0lVcVd3TFpBX3RzMjdFQWdpbmRHSi16UHRSUERkMVpFanJkMmtmYk42N3JQMnU?oc=5,Colby Adcock’s Scout AI raises $100M to train its models for war: We visited its bootcamp,Scout AI,https://diffbot.com/entity/Er0CeRnnXOhe5_qq-iBU6VQ,['http://dbpedia.org/ontology/Organisation'],2,0.0
https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZS1vRGZZWkRGT0lBQVA3aWl0cHI5Q21oc0YyWVM3VjlNMkxRMU1QQ2pRd2ktMFAwYXpHdWRMSGJhWkFwM0d0QUl0NWZSZG9JYmxfbGp0bFlZQ18yUGNvamVjaHBwRkxES2xHeXVlTXNzdUxRaXM0Y2c0UmotQVpMeVNab2VIRFVmNWl0NGU0LWZFQ0lVcVd3TFpBX3RzMjdFQWdpbmRHSi16UHRSUERkMVpFanJkMmtmYk42N3JQMnU?oc=5,Colby Adcock’s Scout AI raises $100M to train its models for war: We visited its bootcamp,Align Ventures,https://diffbot.com/entity/E9COi9ShaPgaafKyHnriFuw,['http://dbpedia.org/ontology/Organisation'],1,0.0
https://news.google.com/rss/articles/CBMiSEFVX3lxTE1JVWJ4b1lldXZyWVhlZF9IX2FkaXNpSU1CZ19iVXItc1ZpeHFXR3RNOE1UeHFTNVZkUk80LV9SR2t2RkFWX3FxSQ?oc=5,Galaxy Mode is live: A limited-time look at what your Cisco AI Assistant and AgenticOps can already do,Cisco Systems,https://diffbot.com/entity/EbX5KH6q6OjyVkAHYlLnIEw,['http://dbpedia.org/ontology/Organisation'],5,0.91
https://news.google.com/rss/articles/CBMie0FVX3lxTFBZOVcyVF9KQ25mX2lGUWVacTV6SUgzektkSEF2NVZpbVpwY2RiVHFFMHYxMFpBc1gzSk5MVE9UMHduYWUtM0xobE43akJJcWxpMnZrNHJJblQ0TTNtSVJVTzVqZERyOUdPTW1JM3hkdUdtQVFEb1EzV3VKcw?oc=5,How rapid AI prototyping is helping government solve mission problems faster,artificial intelligence,https://diffbot.com/entity/E_lYDrjmAMlKKwXaDf958zg,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject']",2,0.883
https://news.google.com/rss/articles/CBMikgFBVV95cUxPY3NOR2N5TVFud3FtS2UxMXc3Ml9qV2ZmZnVUTTRfaF93b05DMHVPRm1zMFhGMWFSQ0dqeHNNRUdDb1gxUVNNdzNYajZ6WTRlb0ozSnN4cFY5NVgzWjM5cm1WeTJvWUtCQVBBbXl6MkRhUldieU1abjlISXNmS2VTeXVWbUhkMUYxZjl6WUI0VTF5UdIBlwFBVV95cUxOcmFBNHlYMTB6UWRYNklIWjlTakcxZ2VFamlwV3pfcFltd3lGYk5yV0szb2lpUEVKN0NLZHU5Q1h3WHE0Y2I1LWpqNHZyOXpuVHZfNlJFWGN3Z1JvcWk5b3dtalg4cUFTcU40NWduOFpRRlNNVG4tdV9ILXlObDBMeUpPNDIyWDF2eEJwUUxQUUhRX1dQWW5r?oc=5,SoftBank reportedly weighs $100 billion valuation for new AI and robotics spinout in potential U.S. IPO,SoftBank Group,https://diffbot.com/entity/EqrX5EyTCNWeiZnArYjJHpQ,['http://dbpedia.org/ontology/Organisation'],12,0.0
https://news.google.com/rss/articles/CBMikgFBVV95cUxPY3NOR2N5TVFud3FtS2UxMXc3Ml9qV2ZmZnVUTTRfaF93b05DMHVPRm1zMFhGMWFSQ0dqeHNNRUdDb1gxUVNNdzNYajZ6WTRlb0ozSnN4cFY5NVgzWjM5cm1WeTJvWUtCQVBBbXl6MkRhUldieU1abjlISXNmS2VTeXVWbUhkMUYxZjl6WUI0VTF5UdIBlwFBVV95cUxOcmFBNHlYMTB6UWRYNklIWjlTakcxZ2VFamlwV3pfcFltd3lGYk5yV0szb2lpUEVKN0NLZHU5Q1h3WHE0Y2I1LWpqNHZyOXpuVHZfNlJFWGN3Z1JvcWk5b3dtalg4cUFTcU40NWduOFpRRlNNVG4tdV9ILXlObDBMeUpPNDIyWDF2eEJwUUxQUUhRX1dQWW5r?oc=5,SoftBank reportedly weighs $100 billion valuation for new AI and robotics spinout in potential U.S. IPO,Masayoshi Son,https://diffbot.com/entity/Ejb3XekvsMRqQseyPqdspDg,['http://dbpedia.org/ontology/Person'],1,0.0
https://news.google.com/rss/articles/CBMimwFBVV95cUxOYkI4WFFaZ2FiRnBFNkIwSEM3ZFp1YWN6dU96NGp0SFBxRHhJLWZGZ3RaQlNCVG1iN0U2SVBzcXFfQXRiTDI2Ry1tcWhNNHo5U3RkX0NNNmJ5RFM3dGFPdTgxb3pfekF0dnVXOXV1aUg0aFE1dVRjZnpiMmozQVplQmFhb0loYm8yaVJwcE5CWjcwd25uMjgtcENJNA?oc=5,A.I. Shakes Up China’s Entertainment Landscape,landscape,https://diffbot.com/entity/E7RoGTKVAO-CqEEyUREqciQ,[],1,0.0
https://news.google.com/rss/articles/CBMimwFBVV95cUxOYkI4WFFaZ2FiRnBFNkIwSEM3ZFp1YWN6dU96NGp0SFBxRHhJLWZGZ3RaQlNCVG1iN0U2SVBzcXFfQXRiTDI2Ry1tcWhNNHo5U3RkX0NNNmJ5RFM3dGFPdTgxb3pfekF0dnVXOXV1aUg0aFE1dVRjZnpiMmozQVplQmFhb0loYm8yaVJwcE5CWjcwd25uMjgtcENJNA?oc=5,A.I. Shakes Up China’s Entertainment Landscape,People's Republic of China,https://diffbot.com/entity/EdI-rIizmN7uzAzt3j0tCGQ,"['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']",2,0.425
https://news.google.com/rss/articles/CBMibkFVX3lxTE9YaWk1Vmg3aFBISDVkT1IxUXBMbXRjalpvUndqM08tT1NQbXJya0lwTWJoUDFwdVBfY2N3TWlfZThGeEx1TGdmUVI3ZVZTMUlDanNzalNmUzZFbV9FNTg0WE56Q3pHTXNPb2J4N1RR?oc=5,AI is changing how we write and speak,Alex Mahadevan,https://diffbot.com/entity/EeeoX9d7tN3S2F0XFmACQuQ,['http://dbpedia.org/ontology/Person'],2,0.0
https://news.google.com/rss/articles/CBMibkFVX3lxTE9YaWk1Vmg3aFBISDVkT1IxUXBMbXRjalpvUndqM08tT1NQbXJya0lwTWJoUDFwdVBfY2N3TWlfZThGeEx1TGdmUVI3ZVZTMUlDanNzalNmUzZFbV9FNTg0WE56Q3pHTXNPb2J4N1RR?oc=5,AI is changing how we write and speak,artificial intelligence,https://diffbot.com/entity/E_lYDrjmAMlKKwXaDf958zg,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject']",9,0.0
https://news.google.com/rss/articles/CBMibkFVX3lxTE9YaWk1Vmg3aFBISDVkT1IxUXBMbXRjalpvUndqM08tT1NQbXJya0lwTWJoUDFwdVBfY2N3TWlfZThGeEx1TGdmUVI3ZVZTMUlDanNzalNmUzZFbV9FNTg0WE56Q3pHTXNPb2J4N1RR?oc=5,AI is changing how we write and speak,Emily M. Bender,https://diffbot.com/entity/Eqzo6yIX6PiCwTJJTpM22yw,['http://dbpedia.org/ontology/Person'],3,0.0
https://news.google.com/rss/articles/CBMihgFBVV95cUxPUUdWUXhXc2pwVXF6WjVicG1qTnhZVXJ0NlNYeHlEdmNLR3FtYzFlemlBQ3N4cGFnM25vOXZMOVpwbnFDR2lSTjlEQWdRQkNQbGJNaDdIQjY4ejYxaEdXT2NIOW9VSXV4QXV4N0Flb2VJZFVjM3l2dmdRcVNqcm1rUmdXbmdHQQ?oc=5,Meta Acquires Robotics AI Company to Help Build Humanoid Technology,Meta Platforms,https://diffbot.com/entity/Ebm4UJoSuP1esww1rsLvu9g,"['http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Work']",7,0.0
https://news.google.com/rss/articles/CBMiiwFBVV95cUxNdnNkcHpCUXhYSWhsLVlpZTRFU3lybU4wbHVQUGkyZVBoLWRfLVVaZWFhb0pfRnFZUlRKOHM3ejF1RXV6QWpMWUpkcWVjZVFnV1NEZ2RwU2pyb3JmRWpaYkNWbjlIeGEwUmtkWVp2UHZ4ZER5aE9HMHlYTERZSEVIczRUQ1JKRENVTjdZ?oc=5,How should schools teach AI? 3 models to consider,artificial intelligence,https://diffbot.com/entity/E_lYDrjmAMlKKwXaDf958zg,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject']",13,0.693
https://news.google.com/rss/articles/CBMiqwFBVV95cUxPNHNWaG43dHl3WEVXV0FJWjN0MlpRRWsxQzlsTW1IYUlMLUtXZzcyQU03VjZ0WUNvLWotRjZ1aFZTRUM1MldpNnM0ZlBMT1RnVEZ2eGNlVER1UzA3UEczaUhIdXdiZWJBaUxzaVRyMVQ2aUVHSDZ2RTF1RzIxZU5laTdlQ2RLbVNidTlTWnJqbEFMa2IzVTRKUHNvcy1fcnhXaXk0bjBvQS1NdG8?oc=5,SUNY Sets Systemwide AI Policy,Jesse Sloman,https://diffbot.com/entity/E-O_pnBZzOX28HLHnVOnE9w,['http://dbpedia.org/ontology/Person'],4,0.0
